UserID,Date,Time,Class1,Class2,Class3,Amount,OnSale,Payment Type,Vendor
dummy,2026/1/10,13:45:58,FOOD,,,6.5,No,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,PRODUCE,,,1.29,No,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,PRODUCE,,,1.66,No,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,PRODUCE,,,1.95,No,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,PRODUCE,,,2.59,Yes,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,DELI,,,4.79,No,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/10,13:45:58,DELI,,,3.99,Yes,Visa,"T&T Supermarket US Lynnwood Store | 19630 Huy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,GROCERY,,,6,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,PRODUCE,,,1.29,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,PRODUCE,,,2.04,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,PRODUCE,,,1.49,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,PRODUCE,,,3.99,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,PRODUCE,,,2.31,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/2,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026/1/25,12:46:58,PRODUCE,,,7.72,Yes,Unknown,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
