name,address_line1,address_line2,city,state,zip_code,country_code,is_active
99 Ranch Market Fremont,34444 Fremont Blvd,,Fremont,CA,94555,US,TRUE
Chick-fil-A Bellevue,705 116th Ave NE,,Bellevue,WA,98004,US,TRUE
Costco Wholesale Kailua-Kona,73-5600 Maiau St,,Kailua-Kona,HI,96740,US,TRUE
Costco Wholesale Lynnwood,18109 33rd Ave W,1190,Lynnwood,WA,98037,US,TRUE
India Bazar Farmers Market,360 US 46 East,,Totowa,NJ,7512,US,TRUE
In-N-Out Burger Fremont,43349 Pacific Commons Blvd,,Fremont,CA,94538,US,TRUE
Island Gourmet Markets at The Queen's Marketplace,69-201 Waikoloa Beach Dr,,Waikoloa Village,HI,96738,US,TRUE
JangAn Sullungtang,19520 Highway 99,100,Lynnwood,WA,98036,US,TRUE
Longs Drugs Hilo,555 Kilauea Ave,,Hilo,HI,96720,US,TRUE
Save-On-Foods Ladner,5186 48 Ave,,Delta,BC,V4K 1W3,CA,TRUE
Sweet7,8328 Capstan Way,1131,Richmond,BC,V6X 4B6,CA,TRUE
T&T Supermarket Yaohan Centre,3700 Number 3 Rd,1000,Richmond,BC,V6X 3X2,CA,TRUE
T&T Supermarket Lynnwood,19630 Highway 99,,Lynnwood,WA,98036,US,TRUE
Trader Joe's Lynnwood,19715 Highway 99,101,Lynnwood,WA,98036,US,TRUE
