name,normalized_name,aliases,is_active
99 Ranch Market,99 ranch market,[],True
Chick-fil-A,chick-fil-a,[],True
Costco Wholesale,costco wholesale,[],True
India Bazar Farmers Market,india bazar farmers market,[],True
In-N-Out Burger,in-n-out burger,[],True
Island Gourmet Markets,island gourmet markets,[],True
JangAn Sullungtang,jangan sullungtang,[],True
Longs Drugs,longs drugs,[],True
Save-On-Foods,save-on-foods,[],True
Sweet7,sweet7,[],True
T&T Supermarket Canada,t&t supermarket canada,[],True
T&T Supermarket US,t&t supermarket us,[],True
Trader Joe's,trader joe's,[],True
